model, lambda_weight, recall@1, recall@3, recall@5, mrr
Hybrid-BM25-Embedding,0.0,0.7047619047619048,0.8761904761904762,0.9142857142857143,0.7953665910808768
Hybrid-BM25-Embedding,0.1,0.6476190476190476,0.7714285714285715,0.8285714285714286,0.7233333333333334
Hybrid-BM25-Embedding,0.2,0.5904761904761905,0.7333333333333333,0.7714285714285715,0.6700491307634165
Hybrid-BM25-Embedding,0.3,0.5428571428571428,0.6857142857142857,0.7428571428571429,0.6205933484504913
Hybrid-BM25-Embedding,0.4,0.5238095238095238,0.6571428571428571,0.7238095238095238,0.6015306122448979
Hybrid-BM25-Embedding,0.5,0.5142857142857142,0.638095238095238,0.7142857142857143,0.5928495842781557
Hybrid-BM25-Embedding,0.6,0.5047619047619047,0.6190476190476191,0.7142857142857143,0.5819501133786847
Hybrid-BM25-Embedding,0.7,0.49523809523809526,0.6190476190476191,0.7047619047619048,0.5763945578231292
Hybrid-BM25-Embedding,0.8,0.49523809523809526,0.6190476190476191,0.6952380952380952,0.5760770975056689
Hybrid-BM25-Embedding,0.9,0.47619047619047616,0.6190476190476191,0.6857142857142857,0.5662358276643992
Hybrid-BM25-Embedding,1.0,0.47619047619047616,0.6095238095238096,0.6761904761904762,0.5643461829176115
