model, recall@1, recall@3, recall@5, mrr
BAAI/bge-reranker-v2-m3,0.8380952380952381,0.9142857142857143,0.9523809523809523,0.8853439153439153
svalabs/cross-electra-ms-marco-german-uncased,0.819047619047619,0.9238095238095239,0.9333333333333333,0.8731746031746032
