model, recall@1, recall@3, recall@5, mrr
bert-base-multilingual-cased,0.14285714285714285,0.21904761904761905,0.24761904761904763,0.1936092214663643
RAG-bert-base-multilingual-cased,0.5238095238095238,0.7523809523809524,0.8380952380952381,0.6522978080120938
paraphrase-multilingual-MiniLM-L12-v2,0.5523809523809524,0.6666666666666666,0.7333333333333333,0.6266515495086924
RAG-paraphrase-multilingual-MiniLM-L12-v2,0.6,0.780952380952381,0.8095238095238095,0.6920068027210885
multilingual-e5-small,0.6476190476190476,0.8380952380952381,0.9142857142857143,0.7570219198790629
RAG-multilingual-e5-small,0.7047619047619048,0.8761904761904762,0.9142857142857143,0.7953665910808769
bge-m3,0.7428571428571429,0.8857142857142857,0.9523809523809523,0.8236507936507937
BM25,0.47619047619047616,0.6095238095238096,0.6761904761904762,0.5643461829176115
