model, hit-rate@1, hit-rate@3, hit-rate@5, hit-rate@7, hit-rate@10, recall@1, recall@3, recall@5, recall@7, recall@10, mrr@1, mrr@3, mrr@5, mrr@7, mrr@10, ndcg@1, ndcg@3, ndcg@5, ndcg@7, ndcg@10
BM25,0.15384615384615385,0.3076923076923077,0.36538461538461536,0.46153846153846156,0.5192307692307693,0.10576923076923077,0.25961538461538464,0.3076923076923077,0.3942307692307692,0.4519230769230769,0.15384615384615385,0.22435897435897434,0.2378205128205128,0.2524725274725274,0.25893620268620265,0.0,0.24278884807163692,0.26679280813666245,0.2997238537946633,0.3127961434385841
Base-embedding,0.38461538461538464,0.5576923076923077,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.27884615384615385,0.4423076923076923,0.5096153846153846,0.5096153846153846,0.5865384615384616,0.38461538461538464,0.46153846153846156,0.4740384615384616,0.4740384615384616,0.4831196581196581,0.0,0.48626112541209127,0.5101912124315878,0.5101912124315878,0.5301828151485523
Fine-tune,0.4230769230769231,0.6923076923076923,0.7692307692307693,0.8269230769230769,0.8269230769230769,0.2980769230769231,0.5865384615384616,0.6826923076923077,0.7307692307692307,0.7339743589743589,0.4230769230769231,0.5448717948717949,0.5631410256410256,0.5722985347985349,0.5722985347985349,0.0,0.5797834445002106,0.6077316038918739,0.627842136729362,0.6238111074899293
Rerank,0.5769230769230769,0.75,0.7884615384615384,0.8269230769230769,0.8269230769230769,0.45512820512820507,0.6346153846153846,0.6762820512820512,0.7339743589743589,0.7339743589743589,0.5769230769230769,0.6570512820512822,0.6657051282051284,0.6716575091575092,0.6716575091575092,0.0,0.6795428666182383,0.6929033412460457,0.6994153554841019,0.6994153554841019
